GPU,sys_phy_cores_count,sys_tot_cores_count,sys_ntasks_per_core,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,data_rr_count,model_encoding,batch_size,epochs,learning_rate,epochs_times_one,epochs_times_avg,fit_time
0,28,28,1,3300.0,135104114688,51539603456,100,1,1,2,0.001,194.89,193.955,388.09
0,28,28,1,3300.0,135104114688,51539603456,100,2,1,2,0.001,80.75,78.195,156.47
0,28,28,1,3300.0,135104114688,51539603456,100,3,1,2,0.001,60.81,57.975,116.03
0,28,28,1,3300.0,135104114688,51539603456,100,1,32,2,0.001,185.63,183.83,367.74
0,28,28,1,3300.0,135104114688,51539603456,100,2,32,2,0.001,76.19,73.265,146.62
0,28,28,1,3300.0,135104114688,51539603456,100,3,32,2,0.001,53.32,50.88,101.83
0,28,28,1,3300.0,135104114688,51539603456,1000,1,1,2,0.001,1875.66,1844.07,3688.51
0,28,28,1,3300.0,135104114688,51539603456,1000,2,1,2,0.001,734.6,736.825,1473.91
0,28,28,1,3300.0,135104114688,51539603456,1000,3,1,2,0.001,539.32,543.7650000000001,1087.79
0,28,28,1,3300.0,135104114688,51539603456,200,1,1,2,0.001,380.34,380.72,761.64
0,28,28,1,3300.0,135104114688,51539603456,200,2,1,2,0.001,154.82,150.765,301.62
0,28,28,1,3300.0,135104114688,51539603456,200,3,1,2,0.001,116.1,112.295,224.68
0,28,28,1,3300.0,135104114688,51539603456,200,1,32,2,0.001,368.62,365.435,730.96
0,28,28,1,3300.0,135104114688,51539603456,200,2,32,2,0.001,146.49,143.385,286.85
0,28,28,1,3300.0,135104114688,51539603456,200,3,32,2,0.001,98.18,96.215,192.52
0,28,28,1,3300.0,135104114688,51539603456,400,1,1,2,0.001,773.52,761.54,1523.32
0,28,28,1,3300.0,135104114688,51539603456,400,2,1,2,0.001,296.88,291.24,582.6
0,28,28,1,3300.0,135104114688,51539603456,400,3,1,2,0.001,220.9,217.49,435.11
0,28,28,1,3300.0,135104114688,51539603456,400,1,32,2,0.001,720.09,720.13,1440.41
0,48,48,48,3900.0,201355902976,51539603456,10000,1,1,1,0.001,2100.86,2100.86,2103.19
0,48,48,48,3900.0,201355902976,51539603456,10000,2,1,1,0.001,1364.98,1364.98,1368.67
0,48,48,48,3900.0,201355902976,51539603456,10000,3,1,1,0.001,1008.34,1008.34,1012.24
0,48,48,48,3900.0,201355902976,51539603456,10000,1,1,2,0.001,2069.51,2068.505,4140.69
0,48,48,48,3900.0,201355902976,51539603456,10000,2,1,2,0.001,1373.35,1367.185,2738.04
0,48,48,48,3900.0,201355902976,51539603456,10000,3,1,2,0.001,1005.06,1001.51,2006.95
0,48,48,48,3900.0,201355902976,51539603456,10000,1,10,1,0.001,1145.88,1145.88,1150.45
0,48,48,48,3900.0,201355902976,51539603456,10000,2,10,1,0.001,535.63,535.63,539.38
0,48,48,48,3900.0,201355902976,51539603456,10000,3,10,1,0.001,396.94,396.94,400.84
0,48,48,48,3900.0,201355902976,51539603456,10000,1,10,2,0.001,1141.28,1141.345,2286.74
0,48,48,48,3900.0,201355902976,51539603456,10000,2,10,2,0.001,535.78,531.935,1067.85
0,48,48,48,3900.0,201355902976,51539603456,10000,3,10,2,0.001,396.04,393.725,793.39
0,48,48,48,3900.0,201355902976,51539603456,10000,1,32,1,0.001,1062.98,1062.98,1066.64
0,48,48,48,3900.0,201355902976,51539603456,10000,2,32,1,0.001,414.87,414.87,418.51
0,48,48,48,3900.0,201355902976,51539603456,10000,3,32,1,0.001,333.64,333.64,337.34
0,48,48,48,3900.0,201355902976,51539603456,10000,1,32,2,0.001,1062.51,1062.135,2127.98
0,48,48,48,3900.0,201355902976,51539603456,10000,2,32,2,0.001,413.72,411.36,826.47
0,48,48,48,3900.0,201355902976,51539603456,10000,3,32,2,0.001,323.53,322.015,648.14
0,48,48,48,3900.0,201355902976,51539603456,10000,1,64,1,0.001,1042.89,1042.89,1046.96
0,48,48,48,3900.0,201355902976,51539603456,10000,2,64,1,0.001,397.86,397.86,401.71
0,48,48,48,3900.0,201355902976,51539603456,10000,3,64,1,0.001,318.32,318.32,322.0
0,48,48,48,3900.0,201355902976,51539603456,10000,1,64,2,0.001,1043.57,1044.975,2093.59
0,48,48,48,3900.0,201355902976,51539603456,10000,2,64,2,0.001,397.41,395.69000000000005,795.88
0,48,48,48,3900.0,201355902976,51539603456,10000,3,64,2,0.001,316.75,313.15,630.33
0,48,48,48,3900.0,201355902976,51539603456,10000,1,128,1,0.001,1028.65,1028.65,1032.32
0,48,48,48,3900.0,201355902976,51539603456,10000,2,128,1,0.001,377.23,377.23,380.9
0,48,48,48,3900.0,201355902976,51539603456,10000,3,128,1,0.001,296.76,296.76,300.38
0,48,48,48,3900.0,201355902976,51539603456,10000,1,128,2,0.001,1023.58,1023.86,2051.36
0,48,48,48,3900.0,201355902976,51539603456,10000,2,128,2,0.001,374.86,373.59,750.89
0,48,48,48,3900.0,201355902976,51539603456,10000,3,128,2,0.001,290.09,288.72,581.12
0,48,48,48,3900.0,201355902976,51539603456,100,1,1,1,0.001,22.38,22.38,22.47
0,48,48,48,3900.0,201355902976,51539603456,100,2,1,1,0.001,17.23,17.23,17.3
0,48,48,48,3900.0,201355902976,51539603456,100,3,1,1,0.001,14.83,14.83,14.93
0,48,48,48,3900.0,201355902976,51539603456,100,1,1,2,0.001,21.54,21.155,42.37
0,48,48,48,3900.0,201355902976,51539603456,100,2,1,2,0.001,17.42,15.695,31.46
0,48,48,48,3900.0,201355902976,51539603456,100,3,1,2,0.001,14.52,12.33,24.76
0,48,48,48,3900.0,201355902976,51539603456,100,1,10,1,0.001,12.19,12.19,12.25
0,48,48,48,3900.0,201355902976,51539603456,100,2,10,1,0.001,9.1,9.1,9.15
0,48,48,48,3900.0,201355902976,51539603456,100,3,10,1,0.001,8.4,8.4,8.45
0,48,48,48,3900.0,201355902976,51539603456,100,1,10,2,0.001,12.2,11.95,23.95
0,48,48,48,3900.0,201355902976,51539603456,100,2,10,2,0.001,8.84,7.085,14.27
0,48,48,48,3900.0,201355902976,51539603456,100,3,10,2,0.001,8.52,6.17,12.44
0,48,48,48,3900.0,201355902976,51539603456,100,1,32,1,0.001,11.23,11.23,11.29
0,48,48,48,3900.0,201355902976,51539603456,100,2,32,1,0.001,7.98,7.98,8.06
0,48,48,48,3900.0,201355902976,51539603456,100,3,32,1,0.001,7.77,7.77,7.82
0,48,48,48,3900.0,201355902976,51539603456,100,1,32,2,0.001,11.37,10.985,22.03
0,48,48,48,3900.0,201355902976,51539603456,100,2,32,2,0.001,8.0,6.12,12.31
0,48,48,48,3900.0,201355902976,51539603456,100,3,32,2,0.001,7.94,5.705,11.46
0,48,48,48,3900.0,201355902976,51539603456,100,1,64,1,0.001,11.1,11.1,11.17
0,48,48,48,3900.0,201355902976,51539603456,100,2,64,1,0.001,7.64,7.64,7.71
0,48,48,48,3900.0,201355902976,51539603456,100,3,64,1,0.001,7.61,7.61,7.72
0,48,48,48,3900.0,201355902976,51539603456,100,1,64,2,0.001,10.83,10.625,21.32
0,48,48,48,3900.0,201355902976,51539603456,100,2,64,2,0.001,7.62,5.859999999999999,11.83
0,48,48,48,3900.0,201355902976,51539603456,100,3,64,2,0.001,7.68,5.475,11.1
0,48,48,48,3900.0,201355902976,51539603456,100,1,128,1,0.001,10.95,10.95,11.02
0,48,48,48,3900.0,201355902976,51539603456,100,2,128,1,0.001,7.34,7.34,7.43
0,48,48,48,3900.0,201355902976,51539603456,100,3,128,1,0.001,7.36,7.36,7.46
0,48,48,48,3900.0,201355902976,51539603456,100,1,128,2,0.001,10.65,10.47,21.02
0,48,48,48,3900.0,201355902976,51539603456,100,2,128,2,0.001,6.99,5.405,11.21
0,48,48,48,3900.0,201355902976,51539603456,100,3,128,2,0.001,7.44,5.195,10.45
0,48,48,48,3900.0,201355902976,51539603456,100,1,1,1,0.0001,23.56,23.56,23.66
0,48,48,48,3900.0,201355902976,51539603456,100,2,1,1,0.0001,17.1,17.1,17.17
0,48,48,48,3900.0,201355902976,51539603456,100,3,1,1,0.0001,14.9,14.9,15.0
0,48,48,48,3900.0,201355902976,51539603456,100,1,1,1,0.0005,22.2,22.2,22.27
0,48,48,48,3900.0,201355902976,51539603456,100,2,1,1,0.0005,17.19,17.19,17.25
0,48,48,48,3900.0,201355902976,51539603456,100,3,1,1,0.0005,14.83,14.83,14.93
0,48,48,48,3900.0,201355902976,51539603456,100,1,1,1,0.001,21.29,21.29,21.35
0,48,48,48,3900.0,201355902976,51539603456,100,2,1,1,0.001,17.63,17.63,17.7
0,48,48,48,3900.0,201355902976,51539603456,100,3,1,1,0.001,14.48,14.48,14.54
0,48,48,48,3900.0,201355902976,51539603456,1000,1,1,1,0.001,209.76,209.76,210.05
0,48,48,48,3900.0,201355902976,51539603456,1000,2,1,1,0.001,142.64,142.64,142.92
0,48,48,48,3900.0,201355902976,51539603456,1000,3,1,1,0.001,106.99,106.99,107.34
0,48,48,48,3900.0,201355902976,51539603456,1000,1,1,2,0.001,206.7,206.535,413.35
0,48,48,48,3900.0,201355902976,51539603456,1000,2,1,2,0.001,142.89,140.83999999999995,281.94
0,48,48,48,3900.0,201355902976,51539603456,1000,3,1,2,0.001,107.2,104.94,210.26
0,48,48,48,3900.0,201355902976,51539603456,1000,1,10,1,0.001,115.93,115.93,116.21
0,48,48,48,3900.0,201355902976,51539603456,1000,2,10,1,0.001,57.9,57.9,58.2
0,48,48,48,3900.0,201355902976,51539603456,1000,3,10,1,0.001,44.73,44.73,45.01
0,48,48,48,3900.0,201355902976,51539603456,1000,1,10,2,0.001,115.34,114.68,229.65
0,48,48,48,3900.0,201355902976,51539603456,1000,2,10,2,0.001,56.72,55.095,110.47
0,48,48,48,3900.0,201355902976,51539603456,1000,3,10,2,0.001,44.63,42.205,84.69
0,48,48,48,3900.0,201355902976,51539603456,1000,1,32,1,0.001,107.14,107.14,107.43
0,48,48,48,3900.0,201355902976,51539603456,1000,2,32,1,0.001,45.28,45.28,45.55
0,48,48,48,3900.0,201355902976,51539603456,1000,3,32,1,0.001,38.01,38.01,38.26
0,48,48,48,3900.0,201355902976,51539603456,1000,1,32,2,0.001,107.32,106.485,213.22
0,48,48,48,3900.0,201355902976,51539603456,1000,2,32,2,0.001,45.53,43.515,87.28
0,48,48,48,3900.0,201355902976,51539603456,1000,3,32,2,0.001,38.29,35.89,72.08
0,48,48,48,3900.0,201355902976,51539603456,1000,1,64,1,0.001,104.9,104.9,105.23
0,48,48,48,3900.0,201355902976,51539603456,1000,2,64,1,0.001,43.23,43.23,43.52
0,48,48,48,3900.0,201355902976,51539603456,1000,3,64,1,0.001,36.27,36.27,36.44
0,48,48,48,3900.0,201355902976,51539603456,1000,1,64,2,0.001,104.65,104.38,208.95
0,48,48,48,3900.0,201355902976,51539603456,1000,2,64,2,0.001,43.02,41.17,82.62
0,48,48,48,3900.0,201355902976,51539603456,1000,3,64,2,0.001,35.88,33.435,67.17
0,48,48,48,3900.0,201355902976,51539603456,1000,1,128,1,0.001,102.34,102.34,102.52
0,48,48,48,3900.0,201355902976,51539603456,1000,2,128,1,0.001,40.44,40.44,40.67
0,48,48,48,3900.0,201355902976,51539603456,1000,3,128,1,0.001,33.64,33.64,33.81
0,48,48,48,3900.0,201355902976,51539603456,1000,1,128,2,0.001,102.97,102.45,205.16
0,48,48,48,3900.0,201355902976,51539603456,1000,2,128,2,0.001,40.34,38.725,78.21
0,48,48,48,3900.0,201355902976,51539603456,1000,3,128,2,0.001,33.65,31.43,63.05
