sys_phy_cores_count,sys_tot_cores_count,sys_phy_mem_bytes,exe_L,exe_Du,exe_Dv,exe_F,exe_k,exe_dt,exe_steps,exe_noise,run_nprocs,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps,total_exe_time_ms
4,4,4119924736,64,0.1,0.1,0.02,0.048,1.0,100,1e-07,2,4433.0,7005.0,174.4,2.17669677734375
4,4,4119924736,64,0.1,0.1,0.01,0.048,1.0,100,1e-07,2,4433.0,5254.0,256.4,2.046910285949707
4,4,4119924736,64,0.2,0.1,0.01,0.04,1.0,100,1e-07,2,4433.0,7005.0,170.5,1.918771743774414
4,4,4119924736,16,0.1,0.1,0.02,0.048,2.0,100,1e-07,2,4433.0,5838.0,622.7,0.3769612312316894
4,4,4119924736,16,0.2,0.1,0.01,0.04,2.0,100,1e-07,2,4433.0,5531.0,544.9,0.3332803249359131
4,4,4119924736,64,0.1,0.2,0.02,0.04,2.0,150,1e-07,2,4433.0,6181.0,554.1,2.341718912124634
4,4,4119924736,16,0.2,0.1,0.02,0.048,1.0,100,1e-07,2,4433.0,4776.0,633.3,0.3762631416320801
4,4,4119924736,16,0.1,0.1,0.01,0.048,1.0,150,1e-07,2,4433.0,5531.0,544.9,0.3883094787597656
4,4,4119924736,64,0.2,0.1,0.02,0.04,2.0,150,1e-07,2,4433.0,6181.0,726.5,2.0952341556549072
4,4,4119924736,16,0.1,0.2,0.01,0.04,2.0,150,1e-07,2,4433.0,5254.0,363.2,0.326948881149292
4,4,4119924736,64,0.1,0.2,0.01,0.048,1.0,150,1e-07,2,4433.0,5838.0,76.47,2.0479776859283447
4,4,4119924736,16,0.2,0.2,0.02,0.048,2.0,150,1e-07,2,4433.0,7005.0,554.1,0.3253493309020996
4,4,4119924736,16,0.1,0.2,0.02,0.048,1.0,150,1e-07,2,4433.0,6181.0,443.3,0.3302972316741943
4,4,4119924736,16,0.1,0.2,0.01,0.04,2.0,100,1e-07,2,4433.0,6181.0,492.6,0.3980433940887451
4,4,4119924736,16,0.1,0.2,0.02,0.04,2.0,100,1e-07,2,4433.0,5838.0,554.1,0.3788118362426758
4,4,4119924736,16,0.1,0.1,0.02,0.048,1.0,100,1e-07,2,4433.0,4674.0,161.4,0.3852744102478027
4,4,4119924736,64,0.2,0.2,0.02,0.04,1.0,100,1e-07,2,4433.0,6568.0,369.4,2.094909906387329
4,4,4119924736,64,0.2,0.1,0.02,0.04,2.0,100,1e-07,2,4433.0,5838.0,147.8,2.051177740097046
4,4,4119924736,16,0.2,0.2,0.01,0.04,1.0,150,1e-07,2,4433.0,5531.0,484.3,0.3876276016235351
4,4,4119924736,16,0.2,0.1,0.02,0.04,1.0,150,1e-07,2,4433.0,6181.0,633.3,0.3299620151519775
4,4,4119924736,64,0.1,0.1,0.01,0.048,2.0,150,1e-07,2,4433.0,5838.0,164.2,2.2441153526306152
4,4,4119924736,64,0.1,0.2,0.01,0.048,2.0,150,1e-07,2,4433.0,6568.0,726.5,1.7954978942871094
4,4,4119924736,16,0.2,0.2,0.02,0.048,1.0,150,1e-07,2,4433.0,6181.0,554.1,0.3870038986206054
4,4,4119924736,64,0.1,0.1,0.02,0.048,2.0,150,1e-07,2,4433.0,6568.0,633.3,1.8448710441589355
4,4,4119924736,16,0.1,0.2,0.01,0.04,1.0,150,1e-07,2,4433.0,5838.0,544.9,0.3849954605102539
4,4,4119924736,16,0.1,0.1,0.02,0.048,2.0,150,1e-07,2,4433.0,6181.0,622.7,0.3437597751617431
4,4,4119924736,64,0.2,0.1,0.01,0.048,1.0,150,1e-07,2,4433.0,6568.0,492.6,2.110800266265869
4,4,4119924736,64,0.2,0.1,0.01,0.04,2.0,100,1e-07,2,4433.0,7005.0,396.3,2.8736917972564697
4,4,4119924736,16,0.2,0.1,0.02,0.048,1.0,150,1e-07,2,4433.0,5842.0,435.9,0.3879799842834472
4,4,4119924736,16,0.2,0.1,0.01,0.04,2.0,150,1e-07,2,4433.0,5004.0,554.1,0.3840010166168213
4,4,4119924736,64,0.1,0.2,0.01,0.04,1.0,100,1e-07,2,4433.0,6181.0,181.6,2.3653738498687744
4,4,4119924736,64,0.2,0.2,0.01,0.04,2.0,150,1e-07,2,4433.0,4569.0,443.3,2.7459986209869385
4,4,4119924736,16,0.2,0.1,0.01,0.048,1.0,150,1e-07,2,4433.0,6181.0,633.3,0.3302192687988281
4,4,4119924736,16,0.1,0.1,0.01,0.04,2.0,100,1e-07,2,4433.0,6568.0,443.3,0.435997724533081
4,4,4119924736,16,0.1,0.2,0.01,0.048,1.0,150,1e-07,2,4433.0,5838.0,272.4,0.4367144107818603
4,4,4119924736,16,0.2,0.2,0.01,0.048,1.0,150,1e-07,2,4433.0,5838.0,443.3,0.3916559219360351
4,4,4119924736,64,0.1,0.1,0.02,0.04,2.0,100,1e-07,2,4433.0,5842.0,554.1,2.012936592102051
4,4,4119924736,64,0.2,0.2,0.01,0.04,2.0,100,1e-07,2,4433.0,6568.0,492.6,2.6256303787231445
4,4,4119924736,64,0.2,0.2,0.02,0.048,2.0,150,1e-07,2,4433.0,6181.0,726.5,2.342350482940674
4,4,4119924736,64,0.2,0.2,0.02,0.04,2.0,100,1e-07,2,4433.0,5842.0,443.3,2.706599473953247
4,4,4119924736,16,0.1,0.1,0.01,0.048,2.0,150,1e-07,2,4433.0,5531.0,554.1,0.4560170173645019
4,4,4119924736,64,0.2,0.1,0.02,0.04,1.0,100,1e-07,2,4433.0,7506.0,341.0,2.54656982421875
4,4,4119924736,64,0.2,0.1,0.02,0.048,1.0,150,1e-07,2,4433.0,7506.0,633.3,2.134349584579468
4,4,4119924736,16,0.2,0.1,0.02,0.04,2.0,150,1e-07,2,4433.0,5842.0,633.3,0.3791761398315429
4,4,4119924736,64,0.1,0.2,0.01,0.04,2.0,100,1e-07,2,4433.0,6568.0,164.2,2.3025405406951904
4,4,4119924736,16,0.2,0.1,0.01,0.04,1.0,150,1e-07,2,4433.0,5254.0,158.3,0.3927154541015625
4,4,4119924736,64,0.1,0.2,0.02,0.048,2.0,100,1e-07,2,4433.0,4776.0,143.0,2.0621705055236816
4,4,4119924736,16,0.2,0.1,0.01,0.048,1.0,100,1e-07,2,4433.0,6181.0,396.3,0.3924977779388428
4,4,4119924736,64,0.2,0.1,0.01,0.048,2.0,150,1e-07,2,4433.0,6568.0,181.6,2.447147846221924
4,4,4119924736,16,0.1,0.2,0.02,0.048,2.0,150,1e-07,2,4433.0,6181.0,554.1,0.3782033920288086
