sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_threads,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_sliding_size,run_sliding_quality,run_minlen,run_mi_length,run_mi_strict,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps,data_rr_count,total_exe_time_s
2,2,2304.0,2217431040,2147479552,50,5,16,8,33,25,15,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.6234846115112305
2,2,2304.0,2217431040,2147479552,50,5,30,15,33,25,15,36,36,0.8,7412.0,8192.0,3706.0,2048.0,20000,2.3146116733551025
2,2,2304.0,2217431040,2147479552,50,5,30,15,15,4,33,36,36,0.5,7412.0,8192.0,5272.0,2048.0,20000,2.9258742332458496
2,2,2304.0,2217431040,2147479552,50,5,30,15,15,4,3,36,36,0.8,7412.0,8192.0,3706.0,2048.0,20000,2.589249610900879
2,2,2304.0,2217431040,2147479552,50,5,30,15,15,10,33,36,36,0.8,7412.0,8192.0,5272.0,2048.0,20000,2.8186867237091064
2,2,2304.0,2217431040,2147479552,50,5,16,8,15,10,33,36,36,0.5,7412.0,8192.0,7346.0,1638.0,20000,2.760633945465088
2,2,2304.0,2217431040,2147479552,50,5,20,10,33,25,33,36,36,0.5,7412.0,8192.0,7412.0,2048.0,20000,2.8626928329467773
2,2,2304.0,2217431040,2147479552,10,5,20,10,33,4,26,36,36,0.8,7412.0,8192.0,3673.0,1638.0,20000,3.23003363609314
2,2,2304.0,2217431040,2147479552,50,5,16,8,15,4,15,36,36,0.2,7412.0,8192.0,3706.0,2048.0,20000,2.9166088104248047
2,2,2304.0,2217431040,2147479552,10,5,20,10,33,4,33,36,36,0.8,7412.0,8192.0,5272.0,2048.0,20000,2.822192907333374
2,2,2304.0,2217431040,2147479552,50,5,16,8,3,4,33,36,36,0.8,7412.0,8192.0,7346.0,2048.0,20000,2.711658000946045
2,2,2304.0,2217431040,2147479552,50,5,20,10,15,25,3,36,36,0.2,7412.0,8192.0,3706.0,2048.0,20000,2.8779520988464355
2,2,2304.0,2217431040,2147479552,10,5,20,10,33,10,26,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.631701707839966
2,2,2304.0,2217431040,2147479552,10,5,20,10,15,4,26,36,36,0.8,7412.0,8192.0,7346.0,1638.0,20000,3.8032593727111816
2,2,2304.0,2217431040,2147479552,10,5,16,8,3,4,3,36,36,0.8,7412.0,8192.0,7346.0,2048.0,20000,3.2372043132781982
2,2,2304.0,2217431040,2147479552,50,5,16,8,15,10,15,36,36,0.8,7412.0,8192.0,5272.0,2048.0,20000,2.214638948440552
2,2,2304.0,2217431040,2147479552,50,5,16,8,15,4,3,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.7121999263763428
2,2,2304.0,2217431040,2147479552,10,5,16,8,15,25,26,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,2.725687265396118
2,2,2304.0,2217431040,2147479552,10,5,20,10,15,25,15,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,2.9383227825164795
2,2,2304.0,2217431040,2147479552,10,5,20,10,33,10,3,36,36,0.2,7412.0,8192.0,7346.0,1638.0,20000,2.716425657272339
2,2,2304.0,2217431040,2147479552,50,5,20,10,15,4,33,36,36,0.2,7412.0,8192.0,3706.0,2048.0,20000,2.8426623344421387
2,2,2304.0,2217431040,2147479552,10,5,20,10,33,25,3,36,36,0.5,7412.0,8192.0,7346.0,1638.0,20000,3.2748043537139893
2,2,2304.0,2217431040,2147479552,50,5,30,15,33,10,26,36,36,0.5,7412.0,8192.0,3706.0,2048.0,20000,2.931591033935547
2,2,2304.0,2217431040,2147479552,50,5,30,15,3,4,3,36,36,0.5,7412.0,8192.0,5272.0,2048.0,20000,2.678334951400757
2,2,2304.0,2217431040,2147479552,50,5,30,15,3,10,33,36,36,0.8,7412.0,8192.0,3706.0,2048.0,20000,2.363688945770264
2,2,2304.0,2217431040,2147479552,50,5,20,10,15,10,15,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.770848274230957
2,2,2304.0,2217431040,2147479552,50,5,16,8,3,25,33,36,36,0.8,7412.0,8192.0,7346.0,2048.0,20000,2.915407419204712
2,2,2304.0,2217431040,2147479552,50,5,16,8,15,25,33,36,36,0.2,7412.0,8192.0,5272.0,1638.0,20000,4.7783522605896
2,2,2304.0,2217431040,2147479552,50,5,20,10,15,4,33,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,2.7786343097686768
2,2,2304.0,2217431040,2147479552,50,5,20,10,15,4,33,36,36,0.8,7412.0,8192.0,7412.0,2048.0,20000,3.029021978378296
2,2,2304.0,2217431040,2147479552,50,5,30,15,33,25,3,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,2.873753547668457
2,2,2304.0,2217431040,2147479552,10,5,20,10,33,4,15,36,36,0.2,7412.0,8192.0,3673.0,1638.0,20000,9.377397060394289
2,2,2304.0,2217431040,2147479552,50,5,16,8,15,4,3,36,36,0.5,7412.0,8192.0,3673.0,2048.0,20000,3.06928825378418
