run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_outputF_1P,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_MinLength,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-1897.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,16,8,15,15,25,3,MINLEN:36 MAXINFO:36:0.5,1.7759976387023926,33747,7346.0,8192.0,5272.0,2048.0
run-1869.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,16,8,3,3,25,33,MINLEN:36 MAXINFO:36:0.2,1.776219367980957,34348,7346.0,8192.0,3673.0,1638.0
run-1452.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_40k.fastq.gz,Trimmed.fastq,5,20,10,15,15,10,3,MINLEN:36 MAXINFO:36:0.2,2.652639389038086,56880,7346.0,8192.0,7346.0,2048.0
run-1861.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,16,8,3,3,25,3,MINLEN:36 MAXINFO:36:0.5,1.8752737045288088,38237,7346.0,8192.0,7346.0,2048.0
run-1889.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,16,8,15,15,10,15,MINLEN:36 MAXINFO:36:0.8,2.4311928749084473,51694,7346.0,8192.0,5272.0,2048.0
run-1723.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,30,15,33,33,25,26,MINLEN:36 MAXINFO:36:0.5,1.830261468887329,36669,7346.0,8192.0,7346.0,2048.0
run-1688.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,30,15,15,15,25,26,MINLEN:36 MAXINFO:36:0.8,1.5816495418548584,29559,7346.0,8192.0,5272.0,2048.0
run-1655.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,30,15,3,3,25,33,MINLEN:36 MAXINFO:36:0.8,2.4330501556396484,52773,7346.0,8192.0,7346.0,2048.0
run-1529.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_40k.fastq.gz,Trimmed.fastq,5,16,8,3,3,10,15,MINLEN:36 MAXINFO:36:0.8,1.942864179611206,38513,7346.0,8192.0,7346.0,2048.0
run-1937.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,16,8,33,33,25,15,MINLEN:36 MAXINFO:36:0.8,2.128394365310669,43171,7346.0,8192.0,4763.0,1638.0
run-1670.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,30,15,15,15,10,3,MINLEN:36 MAXINFO:36:0.8,2.3383266925811768,50696,7346.0,8192.0,4763.0,1638.0
run-1848.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_40k.fastq.gz,Trimmed.fastq,5,16,8,3,3,10,3,MINLEN:36 MAXINFO:36:0.2,2.6129140853881836,51792,7346.0,8192.0,7346.0,1638.0
