run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_outputF_1P,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_minlen,run_mi_length,run_mi_strict,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-76.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,10,26,50,50,0.5,4.892382860183716,252955,7346.0,8192.0,7346.0,2048.0
run-68.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,10,26,50,50,0.8,4.934154748916626,257052,7346.0,8192.0,5272.0,2048.0
run-14.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,10,26,50,50,0.8,3.62578010559082,47518,7346.0,8192.0,7346.0,2048.0
run-34.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,25,33,50,50,0.5,5.54175066947937,136705,7346.0,8192.0,5272.0,2048.0
run-44.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,25,33,50,50,0.8,5.1245996952056885,125958,7346.0,8192.0,3673.0,2048.0
run-5.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,10,26,50,50,0.8,3.7043614387512207,48013,7346.0,8192.0,3673.0,2048.0
run-19.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,4,3,50,50,0.5,3.708159685134888,48644,7346.0,8192.0,5272.0,2048.0
run-63.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,4,3,50,50,0.2,5.478949546813965,294372,7346.0,8192.0,4763.0,2048.0
run-29.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,4,3,50,50,0.8,4.632662773132324,112306,7346.0,8192.0,5272.0,2048.0
run-18.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,4,3,50,50,0.2,3.589179515838623,46655,7346.0,8192.0,5272.0,2048.0
run-26.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,25,33,50,50,0.8,3.643945455551147,47718,7346.0,8192.0,3673.0,2048.0
run-12.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,10,26,50,50,0.2,3.5316832065582275,45778,7346.0,8192.0,3673.0,2048.0
run-49.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,10,26,50,50,0.5,5.446154356002808,134347,7346.0,8192.0,7346.0,2048.0
run-41.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,10,26,50,50,0.8,5.044360399246216,123005,7346.0,8192.0,7346.0,2048.0
run-71.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,25,33,50,50,0.8,4.125546216964722,204808,7346.0,8192.0,3673.0,2048.0
run-61.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,25,33,50,50,0.5,4.723395586013794,242321,7346.0,8192.0,7346.0,2048.0
run-79.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,25,33,50,50,0.5,4.95647120475769,257910,7346.0,8192.0,7346.0,2048.0
run-17.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,15,15,25,33,50,50,0.8,3.65435528755188,47471,7346.0,8192.0,3673.0,2048.0
