run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_outputF_1P,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_minlen,run_mi_length,run_mi_strict,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-76.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.5,6.151590347290039,322629,7346.0,8192.0,5272.0,2048.0
run-68.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.8,3.782428026199341,191407,7346.0,8192.0,7346.0,2048.0
run-14.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.8,3.8198750019073486,49812,7346.0,8192.0,3673.0,2048.0
run-34.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.5,6.315060615539551,157256,7346.0,8192.0,3673.0,1638.0
run-44.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.8,4.805219411849976,117449,7346.0,8192.0,5272.0,2048.0
run-5.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.8,4.104182243347168,53268,7346.0,8192.0,5272.0,2048.0
run-19.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.5,3.213437795639038,41625,7346.0,8192.0,5272.0,2048.0
run-63.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.2,4.805326461791992,245532,7346.0,8192.0,5272.0,2048.0
run-29.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.8,7.207937955856323,180755,7346.0,8192.0,7346.0,2048.0
run-18.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.2,3.397549629211426,44592,7346.0,8192.0,7346.0,2048.0
run-26.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.8,3.840032577514648,49994,7346.0,8192.0,4763.0,2048.0
run-12.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.2,3.5712826251983643,46370,7346.0,8192.0,7346.0,2048.0
run-49.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.5,5.472857713699341,135675,7346.0,8192.0,5272.0,2048.0
run-41.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.8,5.015676975250244,121493,7346.0,8192.0,3673.0,2048.0
run-71.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.8,4.6451756954193115,240107,7346.0,8192.0,7346.0,2048.0
run-61.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.5,5.100176811218262,262004,7346.0,8192.0,4763.0,2048.0
run-79.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.5,6.658513069152832,360338,7346.0,8192.0,4763.0,2048.0
