run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_input2,run_outputF_1P,run_outputF_1U,run_outputR_1P,run_outputR_1U,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_MinLength,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-963.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,33,33,25,15,MINLEN:36 MAXINFO:36:0.2,12.265965938568115,744692,7412.0,8192.0,7346.0,2048.0
run-749.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,33,33,25,15,MINLEN:36 MAXINFO:36:0.8,18.219253301620483,1143056,7412.0,8192.0,7346.0,2048.0
run-694.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,15,15,4,33,MINLEN:36 MAXINFO:36:0.5,18.012812614440918,1125183,7412.0,8192.0,3706.0,1365.0
run-686.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,15,15,4,3,MINLEN:36 MAXINFO:36:0.8,15.199280261993408,919805,7412.0,8192.0,3673.0,2048.0
run-707.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,15,15,10,33,MINLEN:36 MAXINFO:36:0.8,16.35981774330139,1008610,7412.0,8192.0,3706.0,2048.0
run-922.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,15,15,10,33,MINLEN:36 MAXINFO:36:0.5,15.504403591156006,957082,7412.0,8192.0,5272.0,2048.0
run-862.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,33,33,25,33,MINLEN:36 MAXINFO:36:0.5,12.77409815788269,786276,7412.0,8192.0,5272.0,2048.0
run-512.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,33,33,4,26,MINLEN:36 MAXINFO:36:0.8,9.579195022583008,280910,7412.0,8192.0,7346.0,2048.0
run-903.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,15,15,4,15,MINLEN:36 MAXINFO:36:0.2,14.272341966629028,870604,7412.0,8192.0,3673.0,2048.0
run-515.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,33,33,4,33,MINLEN:36 MAXINFO:36:0.8,8.674508571624756,252958,7412.0,8192.0,7346.0,2048.0
run-875.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,3,3,4,33,MINLEN:36 MAXINFO:36:0.8,12.310651063919067,752732,7412.0,8192.0,3673.0,2048.0
run-816.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,15,15,25,3,MINLEN:36 MAXINFO:36:0.2,10.961205005645752,655887,7412.0,8192.0,3706.0,2048.0
run-522.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,33,33,10,26,MINLEN:36 MAXINFO:36:0.2,8.707256317138672,252417,7412.0,8192.0,3706.0,2048.0
run-476.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,15,15,4,26,MINLEN:36 MAXINFO:36:0.8,11.227560758590698,331371,7412.0,8192.0,3706.0,2048.0
run-542.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,3,3,4,3,MINLEN:36 MAXINFO:36:0.8,10.588370323181152,311936,7412.0,8192.0,5272.0,2048.0
run-917.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,15,15,10,15,MINLEN:36 MAXINFO:36:0.8,15.250707626342772,937591,7412.0,8192.0,5272.0,2048.0
run-900.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,15,15,4,3,MINLEN:36 MAXINFO:36:0.2,12.56397294998169,752171,7412.0,8192.0,7346.0,2048.0
run-607.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,15,15,25,26,MINLEN:36 MAXINFO:36:0.5,10.250665187835692,302126,7412.0,8192.0,7346.0,2048.0
run-496.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,15,15,25,15,MINLEN:36 MAXINFO:36:0.5,16.402685403823853,490919,7412.0,8192.0,3706.0,2048.0
run-516.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,33,33,10,3,MINLEN:36 MAXINFO:36:0.2,10.967032194137571,308273,7412.0,8192.0,7346.0,2048.0
run-801.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,15,15,4,33,MINLEN:36 MAXINFO:36:0.2,12.364319086074827,761076,7412.0,8192.0,7346.0,2048.0
run-529.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,33,33,25,3,MINLEN:36 MAXINFO:36:0.5,11.715737342834473,345813,7412.0,8192.0,3706.0,2048.0
run-739.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,33,33,10,26,MINLEN:36 MAXINFO:36:0.5,10.555083990097046,624939,7412.0,8192.0,3673.0,2048.0
run-649.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,3,3,4,3,MINLEN:36 MAXINFO:36:0.5,11.017024755477903,669407,7412.0,8192.0,3706.0,2048.0
run-671.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,3,3,10,33,MINLEN:36 MAXINFO:36:0.8,15.091113567352297,930752,7412.0,8192.0,3706.0,2048.0
run-807.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,15,15,10,15,MINLEN:36 MAXINFO:36:0.2,13.43470811843872,821089,7412.0,8192.0,3706.0,2048.0
run-899.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,3,3,25,33,MINLEN:36 MAXINFO:36:0.8,15.945418119430542,978296,7412.0,8192.0,3673.0,2048.0
run-933.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,15,15,25,33,MINLEN:36 MAXINFO:36:0.2,12.974298000335692,804754,7412.0,8192.0,7346.0,2048.0
run-802.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,15,15,4,33,MINLEN:36 MAXINFO:36:0.5,13.269330024719238,808048,7412.0,8192.0,3673.0,2048.0
run-803.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,15,15,4,33,MINLEN:36 MAXINFO:36:0.8,14.68019676208496,917524,7412.0,8192.0,3706.0,2048.0
run-745.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,33,33,25,3,MINLEN:36 MAXINFO:36:0.5,12.918047428131104,797592,7412.0,8192.0,7346.0,2048.0
run-507.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,33,33,4,15,MINLEN:36 MAXINFO:36:0.2,10.75092315673828,316048,7412.0,8192.0,3706.0,2048.0
run-901.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,15,15,4,3,MINLEN:36 MAXINFO:36:0.5,13.064166069030762,797877,7412.0,8192.0,5272.0,2048.0
run-904.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,15,15,4,15,MINLEN:36 MAXINFO:36:0.5,12.470097064971924,747132,7412.0,8192.0,3706.0,2048.0
run-864.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,3,3,4,3,MINLEN:36 MAXINFO:36:0.2,10.950156211853027,654926,7412.0,8192.0,7346.0,2048.0
run-539.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,33,33,25,33,MINLEN:36 MAXINFO:36:0.8,12.022001504898071,354927,7412.0,8192.0,3706.0,2048.0
run-951.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,33,33,10,15,MINLEN:36 MAXINFO:36:0.2,13.678311109542848,849051,7412.0,8192.0,5272.0,2048.0
run-543.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,3,3,4,15,MINLEN:36 MAXINFO:36:0.2,12.167371273040771,359678,7412.0,8192.0,3706.0,2048.0
run-599.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,15,15,10,33,MINLEN:36 MAXINFO:36:0.8,10.406966924667358,306315,7412.0,8192.0,7346.0,2048.0
run-464.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,10,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,3,3,25,26,MINLEN:36 MAXINFO:36:0.8,13.067132949829102,380764,7412.0,8192.0,3673.0,1638.0
run-824.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,20,10,15,15,25,26,MINLEN:36 MAXINFO:36:0.8,10.46483325958252,616122,7412.0,8192.0,3673.0,2048.0
run-944.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,16,8,33,33,4,26,MINLEN:36 MAXINFO:36:0.8,15.597824096679688,972340,7412.0,8192.0,7346.0,2048.0
run-750.iteration-0,Linux,x86_64,2,2,2304.0,2217431040,2147479552,PE,50,/home/parallels/Documents/Trimmomatic/SRR8293759.1_1_4L.fastq.gz,/home/parallels/Documents/Trimmomatic/SRR8293759.1_2_4L.fastq.gz,Forward_1_paired.fastq,Forward_1_unpaired.fastq,Reverse_2_paired.fastq,Reverse_2_unpaired.fastq,2,30,15,33,33,25,26,MINLEN:36 MAXINFO:36:0.2,14.344359397888184,889718,7412.0,8192.0,7346.0,2048.0
