run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,exe_L,exe_Du,exe_Dv,exe_F,exe_k,exe_dt,exe_plotgap,exe_steps,exe_noise,exe_output,exe_checkpoint,exe_checkpoint_freq,exe_checkpoint_output,exe_adios_config,exe_adios_span,exe_adios_memory_selection,exe_mesh_type,run_nprocs,run_settings,run_array_dimention,run_diffusion_coeff_U,run_diffusion_coeff_V,run_feed_rate_U,run_kill_rate_V,run_Timestep,run_simulation_steps,run_indused_noise,total_exe_time_ms,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-150.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,64,0.2,0.1,0.01,0.05,5,10,100,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,64,0.2,0.1,0.01,0.05,5,100,1e-06,1.5640792846679688,4705,129200.0,247.0,6181.0,27.5
run-203.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,128,0.1,0.1,0.01,0.05,10,10,1000,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,128,0.1,0.1,0.01,0.05,10,1000,1e-06,65.2067883014679,259336,129200.0,247.0,6568.0,29.0
run-204.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,128,0.1,0.1,0.04,0.04,5,10,100,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,128,0.1,0.1,0.04,0.04,5,100,1e-06,7.177375316619873,27172,129200.0,247.0,7005.0,40.0
run-269.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,128,0.2,0.2,0.01,0.04,10,10,1000,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,128,0.2,0.2,0.01,0.04,10,1000,1e-06,65.83446621894836,261937,129200.0,247.0,7005.0,40.0
run-76.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,16,0.2,0.2,0.01,0.04,10,10,500,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,16,0.2,0.2,0.01,0.04,10,500,1e-06,0.6876370906829834,1170,129200.0,247.0,5531.0,55.0
run-176.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,64,0.2,0.2,0.01,0.05,5,10,1000,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,64,0.2,0.2,0.01,0.05,5,1000,1e-06,9.119877338409424,35018,129200.0,247.0,6181.0,27.5
run-68.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,16,0.2,0.1,0.04,0.05,5,10,1000,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,16,0.2,0.1,0.04,0.05,5,1000,1e-06,0.8502798080444336,1922,129200.0,247.0,7005.0,55.0
run-225.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,128,0.1,0.2,0.01,0.05,10,10,100,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,128,0.1,0.2,0.01,0.05,10,100,1e-06,7.013070583343506,26535,129200.0,247.0,7506.0,29.0
run-96.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,64,0.1,0.1,0.01,0.04,5,10,100,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,64,0.1,0.1,0.01,0.04,5,100,1e-06,1.5518052577972412,4774,129200.0,247.0,6181.0,40.0
run-132.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,64,0.1,0.2,0.04,0.04,5,10,100,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,64,0.1,0.2,0.04,0.04,5,100,1e-06,1.5075716972351074,4569,129200.0,247.0,7005.0,27.5
run-245.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,128,0.2,0.1,0.01,0.04,10,10,1000,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,128,0.2,0.1,0.01,0.04,10,1000,1e-06,64.02684235572815,254573,129200.0,247.0,8083.0,40.0
run-14.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,16,0.1,0.1,0.04,0.04,5,10,1000,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,16,0.1,0.1,0.04,0.04,5,1000,1e-06,0.8655424118041992,1856,129200.0,247.0,6568.0,40.0
run-266.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,128,0.2,0.2,0.01,0.04,5,10,1000,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,128,0.2,0.2,0.01,0.04,5,1000,1e-06,66.61109662055969,264629,129200.0,247.0,7005.0,27.5
run-264.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,128,0.2,0.2,0.01,0.04,5,10,100,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,128,0.2,0.2,0.01,0.04,5,100,1e-06,7.070873498916626,26784,129200.0,247.0,8757.0,55.0
run-133.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,64,0.1,0.2,0.04,0.04,5,10,500,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,64,0.1,0.2,0.04,0.04,5,500,1e-06,4.81132698059082,17705,129200.0,247.0,6181.0,29.0
run-34.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,16,0.1,0.2,0.01,0.05,10,10,500,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,16,0.1,0.2,0.01,0.05,10,500,1e-06,0.6476848125457764,1107,129200.0,247.0,6181.0,55.0
run-169.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,64,0.2,0.2,0.01,0.04,5,10,500,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,64,0.2,0.2,0.01,0.04,5,500,1e-06,4.75560736656189,17488,129200.0,247.0,7005.0,27.5
run-283.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,128,0.2,0.2,0.04,0.05,5,10,500,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,128,0.2,0.2,0.04,0.05,5,500,1e-06,32.73096036911011,129529,129200.0,247.0,8083.0,29.0
run-91.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,16,0.2,0.2,0.04,0.05,5,10,500,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,16,0.2,0.2,0.04,0.05,5,500,1e-06,0.6441445350646973,1082,129200.0,247.0,7005.0,40.0
run-184.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,64,0.2,0.2,0.04,0.04,10,10,500,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,64,0.2,0.2,0.04,0.04,10,500,1e-06,4.6596198081970215,17274,129200.0,247.0,7506.0,29.0
run-178.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,64,0.2,0.2,0.01,0.05,10,10,500,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,64,0.2,0.2,0.01,0.05,10,500,1e-06,4.763258457183838,17619,129200.0,247.0,7005.0,55.0
run-177.iteration-0,Linux,x86_64,1,1,2304.0,2217390080,2147479552,64,0.2,0.2,0.01,0.05,10,10,100,1e-06,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,1,settings-files.json,64,0.2,0.2,0.01,0.05,10,100,1e-06,1.596217155456543,4809,129200.0,247.0,7005.0,40.0
