run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,exe_L,exe_Du,exe_Dv,exe_F,exe_k,exe_dt,exe_plotgap,exe_steps,exe_noise,exe_output,exe_checkpoint,exe_checkpoint_freq,exe_checkpoint_output,exe_adios_config,exe_adios_span,exe_adios_memory_selection,exe_mesh_type,run_nprocs,run_settings,run_array_dimention,run_diffusion_coeff_U,run_diffusion_coeff_V,run_feed_rate_U,run_kill_rate_V,run_Timestep,run_simulation_steps,run_indused_noise,total_exe_time_ms,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-5.iteration-23,Linux,x86_64,3,3,2304.0,6246445056,2147479552,69,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,69,0.2,0.1,0.01,0.048,2,1000,1e-07,126.91727232933044,1514937,129200.0,4433.0,7005.0,295.5
run-4.iteration-13,Linux,x86_64,3,3,2304.0,6246445056,2147479552,68,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,68,0.2,0.1,0.01,0.048,2,1000,1e-07,134.65134239196777,1605983,129200.0,4433.0,5842.0,246.3
run-0.iteration-12,Linux,x86_64,3,3,2304.0,6246445056,2147479552,64,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,64,0.2,0.1,0.01,0.048,2,1000,1e-07,137.3748424053192,1639380,129200.0,4433.0,7005.0,1478.0
run-1.iteration-20,Linux,x86_64,3,3,2304.0,6246445056,2147479552,65,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,65,0.2,0.1,0.01,0.048,2,1000,1e-07,96.0666389465332,1144883,129200.0,4433.0,7506.0,295.5
run-6.iteration-23,Linux,x86_64,3,3,2304.0,6246445056,2147479552,70,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,70,0.2,0.1,0.01,0.048,2,1000,1e-07,131.58117032051086,1570100,129200.0,4433.0,7005.0,435.9
run-2.iteration-17,Linux,x86_64,3,3,2304.0,6246445056,2147479552,66,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,66,0.2,0.1,0.01,0.048,2,1000,1e-07,98.55762314796448,1173671,129200.0,4433.0,7005.0,126.7
run-2.iteration-26,Linux,x86_64,3,3,2304.0,6246445056,2147479552,66,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,66,0.2,0.1,0.01,0.048,2,1000,1e-07,168.66584181785583,2013758,129200.0,4433.0,6181.0,242.2
run-4.iteration-23,Linux,x86_64,3,3,2304.0,6246445056,2147479552,68,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,68,0.2,0.1,0.01,0.048,2,1000,1e-07,121.29729747772215,1447618,129200.0,4433.0,7506.0,311.4
run-6.iteration-27,Linux,x86_64,3,3,2304.0,6246445056,2147479552,70,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,70,0.2,0.1,0.01,0.048,2,1000,1e-07,141.3719334602356,1686000,129200.0,4433.0,5838.0,221.7
run-5.iteration-20,Linux,x86_64,3,3,2304.0,6246445056,2147479552,69,0.2,0.1,0.01,0.048,2,10,1000,1e-07,gs.bp,False,10,gs_ckpt.bp,adios2.xml,False,False,image,3,settings-files.json,69,0.2,0.1,0.01,0.048,2,1000,1e-07,109.75278544425964,1308144,129200.0,4433.0,7005.0,272.4
